,Review,Detail
145,Kinda disappointed ☹️.,"The dog loves it, she kept trying to steal it while I was filling up/mixing with the old brand (Nutro) in her food storage container. I've also caught the cat stealing a couple pieces now and then during breakfast time! The stink is strong (meaty), probably why she loves it.***UPDATE my dog is apparently allergic to something in this. She's so itchy, eyes are watery and red, skin raw from rubbing. I feel so bad. We are transitioning to Inception dog food which after some research seems great for sensitive dogs."
146,good for dogs,When we ordered this came from Sams Club and was 38 pounds of food. What a bargain.
147,Your dog will luv it!,"After calling their headquarters, they told me that all their food bags have those brown bits, so I am disappointed 😞☹️.I have a small Yorkie who likes dry dog food.  But I am disappointed ☹️.  I called Blue company in Arizona and found out that many small breed dogs will take out the little brown bites of antioxidants and set them next to the bowl.  I was told to add warm water or broth, which didn't help.  I did like the fact that my dog's coat really improved.  Very shiny, so it is better than the store brand Ceasers that he was eating."
148,It got rid of my boxer's cysts!,Blue Buffalo is really good and all my dogs love it.
149,My dog has allergies and this food cleared her skin up,Great choice. Our dog loves it especially when it’s slightly heated.
150,Not Just The Bag Color That's Different,"My boxer loves it. I fed her the regular Blue Buffalo before because its pretty much the only kind she'll eat, without me having to mix in chicken breast or Cottage Cheese. She's a picky eater lolI don't know what's in this Healthy Weight stuff, or what's different between this one and the regular Blue Buffalo, but for over a year my dog had 2 pretty large cysts on her neck and her flank, that kept getting bigger and would sometimes burst open and leak, only to fill back up. (Both were benign) The vet told me I could have them removed and gave me an estimate....Within a month of feeding her the Healthy Weight, THEY DISAPPEARED. They're gone.Could the Makers of Blue Buffalo please tell me what's in it or isn't in it, that made the cysts go away?? Would be interesting to know, because cysts are very common in boxers.It could help other dog owners too, by avoiding certain ingredients or brands.I just saved a bunch of money (in surgery cost) by switching to Healthy Weight!Thanks"
151,Digestible,My dog was on an expensive hypoallergenic food but this is more affordable and she’s stopped itching! Plus she loves it! Eats it dry where she wouldn’t eat her other food if it didn’t have wet food in it!
152,Can’t tell you how it taste 🤷‍♀️.. it’s for dog  lol. But he seems to enjoy🐾✌️🙌,"So, this has been my Border Collie's food for two and a half years and he could barely wait until I got it into the bowl for him to eat it (my dog LOVES fish like none other). But that's completely changed.So, the bag color used to be pink for the fish and brown rice recipe and it used to smell really fishy. I mean, it was so fishy smelling that I had to buy an expensive container that fully sealed the food so I wouldn't have to smell it because I absolutely hate fish, but my dog loves it.Last month, we got a blue bag instead of pink. When I looked it up, I saw that Blue Buffalo had changed their bag color and had the messaging that it's a new look, but the same recipe. This is not true at all, it's different! My dog will not eat it unless he's really hungry (he full blown skipped eating for 36 hours before he would touch the stuff). I thought maybe he had an upset stomach, but this happened again a few different times.He also gets fairly lethargic after eating it too. Almost like digesting it is taking a lot out of him... and he's a 2 and a half year old Border Collie... so that's a big red flag when my Border Collie is low energy.That's not all either... the fish smell is gone. Seriously, not a single hint of fish at all in the smell of the food and I also noticed blue bag one leaves significantly larger residue behind in the dog bowl than the pink bag one did.It's unfortunate because I used Blue Buffalo for years with my previous Husky and for the last two years with my Border Collie and it's been great. But now, I'm on the hunt for a new food for him and cancelled my subscription for this one."
153,Blue Nose Pit Is Healthy and Loves This Food,My dog & I have a  subscrptn for this product. It is my go-to food for Gus. Gus was a severely abused pit bull; my bestie & my 7th high risk rescue. He has stomach aches & his food won't digest once a month.  He'll start by eating grass on walks & progresses. I will immediately switch his food to BlueBuff for a few days. In those days he will got to the bathroom regular. But he does not like it for an every meal food.
154,Convenient,Pic above of bandit after eating is new food by blue ✌️🐾🐾🐾❤️ . All good ingredients 🙌
155,Less poop!!,"I was feeding my dog ""Taste of the Wild"" and he seemed to be enjoying it for the most part. But as weeks progressed I noticed a terrible turn in his stool and his mood. I also noticed he wouldn't eat the food once a put it down, he would leave the food untouched for 2 to 3 days at a time. That's when I started to do more research. I started to compensate with Purina, but that only work for a week or so and it was back to unhealthy stool, lack of eating, downtrodden mood, and even vomiting. I started giving him peeled boiled potatoes, unseasoned white rice, and egg yolk just to put something in his belly. One day I was at home and clear as day I thought ""Blue Buffalo"" I know it was the LORD speaking to me because I had never inquired or researched this specific product. I didn't hesitate, nor did I speculate. I jumped on Amazon and ordered this product which arrived 2 days later. Jackson (my blue nose pit) dove head first into his dog dish leaving no remainings. At first I thought maybe because he really liked it as he does most dog food upon initially trying it. But then I noticed a dramatic change in his stool, in his weight and in his behavior. I waited to see if any bad symptoms would reoccur but nothing happened. Jackson is well and loves his food. 15 pound will last a month and 30 pounds will last 2 months. I still give him the white rice and egg yoke occasionally. Rice puts more weight on him and egg yoke shines his coat something wonderful. Overall, Great dog food. Thank You JESUS and Thanks Amazon"
156,Blue Buffalo is all I feed my dogs!,"Was very convenient to have this delivered to the front porch.  For anyone that rated the flavor, did you taste it?  I am just taking the dogs word for it."
157,My dog is very picky and she loved it!,"Here is possibly TMI...my dog started pooping SO MUCH on her old food! It was Kirkland turkey and sweet potato which had been fine for years. Maybe they changed their formula, I dunno. She was going outside to go poop 5 or 6 times a day, minimum. She used to go just twice a day, after breakfast and after dinner. Plus, it was like soft serve ice cream, mushy and hard to pick up. And clearly her bottom was irritated, she was licking it a lot. Super gross, all the way around.So I decided to try this Blue formula. I used to have a cat with health problems that did really well on the Blue brand so trying it for my dog was an easy decision. We started with a 25/75 new/old food ratio and by the time we were 50/50 I noticed a difference. Her poops were more solid and there were less of them. It is day 1 of just this new food now. She has been out to go potty twice, and only pooped right after breakfast, and I am thrilled! Again, TMI but it is harder, drier poop. Easier to pick up and doesn't smell as gross either.Even though it is spendier than the Costco food, ordering thru Amazon was cheaper than any local store's sale price and I love that it came to my door, rather than me schlepping it in and out of a cart, my car and up the stairs to my place. But we are so happy with this food that I dont mind paying more and would gladly schlepp it anywhere!"
158,Only the best for my pup!,For 10+years blue buffalo has been my absolute go to for my dogs!
159,The dog likes it,"My dog usually eats Purina. I am aware that is isn't the most natural food...Anyway, after Lady sits still for her ear cleaning she knows that she always gets a treat. We stopped at PetSmart and a sales person came over to pet Lady. Lady totally loves people so she was jumping all over the sales lady and licking her face.Eventually she was like ""you have an awesome dog. What do you feed her?""I said Purina.""That's like the McDonald's of dog food""I said ""I know it's unhealthy but you have no idea how hard it was to find something she would actually eat. If she doesn't like a food she just sniffs her bowl and walks away and she'll starve herself for days. I was feeling like a terrible doggy mom before we found Purina.""""I am going give you a few sample bags of some healthy dog food and I bet you she'll eat them!""Of the three samples, Lady would not eat a single one she would put it in her mouth and spit it back on the floor (2 flavors were Simply Nurish and 1 flavor was Nutro).This story was just to illustrate how hard it's been to find something Lady will eat. A few weeks ago our Vet said that she was getting a little chunky and I've been following the directions on the Purina package to the letter (Lady is 1 year old so she is very energetic and she gets a good amount of exercise and she NEVER gets people food) so he said we needed to switch foods because that was the likely culprit.Tried this Blue Buffalo and she adores it!"
160,Nut free!,"Quality dog food, excellent price, super quick shipping!  Can't go wrong here!"
161,Goose loves and great for his skin,I used this for the dog
162,Great quality,"I guess like a lot of parents, my children have certain chores that they do to help out around the house.  One of my 4 year olds chores (that she actually loves to do) is feeding our dog.  One morning, she fed our dog his name-brand dog food and, mid-munching, our dog turned about and licked our daughter on the cheek.  My daughter immediately broke out in hives.My daughter has lots of food allergies, one of which is peanuts.  Imagine my horror when I looked at our name-brand dog food and realized peanuts were a main ingredient!  I always read food labels to keep my daughter safe, but it never occurred to me that I needed to check the dog's food.  I immediately set about trying to find a dog food that didn't have nuts.  I couldn't find one at our local big-box store.  I got on amazon and found Blue Buffalo!!Blue Buffalo, not only is great for my dog, but it's NUT FREE!  I can let my daughter feed our dog and not worry that she's going to have a severe allergic reaction!  I would buy it just because it's nut-free, but I've been so pleased with the quality of the food and the benefits to our dog as well.  Our dog eats less of this than he did of the name-brand dog food we were buying.  His coat seems shinier.  The *only* disappointment, which really isn't one, is that it didn't ""cure"" my dog's shedding.  (No, we didn't seriously think it would, but there's always wishful thinking.)We happily are repeat customers and this is the only dog food we'd get for our dog!"
163,High quality dog food,This product has really helped with his itchy skin! One week and the itching has stopped.
164,She loves it!,SUper dog food...one of the best.  My dog loves it and being 11 years old she still wants to play and romp.  I feed her what I consider excellent products for her health and longevity and I very much prefer this dog food.
165,A high quality product.,"My dogs love this stuff. I have a Boston terrier and a (wait for it) a Basset-Doodle... Bassetoodle? Basset-poo? Poodle Hound? Well, anyway, she's half Basset Hound and half miniature poodle, making her 100% French, and kind of picky. The food her breeder (I know, hard to imagine what they were thinking) had been feeding her was full of food coloring (and possibly roadkill)... That poor puppy threw up every day until I switched her to Blue Buffalo. My Boston is a little sensitive to wheat, so I needed to accommodate their very different issues if possible. Both of my dogs are seniors now, though I feed them this regular adult dog formula, and very healthy. Amazon tends to have a great price on this product.Here's the reason for only four stars, and not five. The good news -- buying from Amazon means I don't have to drive (28 miles) to a specialty pet supply place, somehow get help to convey a heavy bag off the shelf, cart it through the store and hoist it into my car. HOWEVER, and this might be the only downside, I get it delivered to my PO Box. Both the postmaster and I wish it could be shipped to my front door -- it's super heavy, and neither one of us is all that strong. She refuses to lift it at all. So, I get to drag it through the post office, out the heavy door, hoist it into my car, and unload it myself at the house... In summary, delivery to my front porch would earn this Amazon offering five stars in my book!"
166,High Quality + Dog Loves It,My dog loves the flavor and her bowel movements are all solid but not dry. Very good for her digestive system. Highly recommend.
167,My American Eskimo likes it,A high quality product.
168,My Dog never has had issues,My dog is going on about 15 years old and is 50 pounds. Almost half of his teeth have been removed (see below for why I recommend the small bite formula). I wish I had fed him food of this quality all these years.I made the switch over to Blue Buffalo about a year ago from 
169,Very convenient,"Taste of the Wild Dry Dog Food, Hi Prairie Canine Formula with Roasted Bison & Venison, 30-Pound Bag"
170,No. Just no.,". He gobbled up the chicken and brown rice flavor right away. I noticed the following benefits within the first week of feeding him this:1. Noticeable energy - he is up and running around a little more than usual. He also has a more lively look in his eyes.2. Appetite - his appetite neither went up nor down, but I have noticed that he loves this food. At first he ate about a half to a full cup more than I normally give him, but that tapered back down to his normal amount by the end of the first week.3. Digestion - I have purchased both the regular and small bite pellet sizes, and he digests the small bite pellets better. He has had many teeth removed, so I have noticed that the small bite formula is easier on his gums and teeth.Overall, I highly recommend this food. You pay more for it, but I noticed an immediate difference in my dog's health. To me, that's worth the price. If your dog has had teeth removed, then I also recommend their small bite formula."
171,Questionable dog food!,He doesn't seem to agree with chicken . He eats the dry food without wet food. Arrived 2 day prime. Will subscribe and save. He has regular business outside and no accidents. Belly doesn't seem upset. Been feeding him this for 5 months. He's 2 years old
172,He's still eating it.,That it's fish flavor and it's one of the only ones that are. And haven't changed their ingredients since we've bought it
173,Rancid,It arrives on time and I subscribe so I don’t have to worry about running out of dog food.
174,Great Item,"1/20/2022Bella (2 year old 30lb lab retriever mix) has been on this food for about a week and I just canceled my subscription and got a refund.My refund note was: Food is causing diarrhea, severe hair loss, itching/biting, loss of appetite, excessive gas, and bad breath in my dog. I've purchased this food from Walmart in the past and didn't get this reaction.I ran out of characters so I'll emphasize more here.At first, I thought the hair loss was because she had a bath last weekend but she's reached the point where her hair is falling out in clumps when she scratches her neck. I'm constantly wiping fur off my face and getting it caught in my nose. It's everywhere.Her poops will start off solid then slowly get softer until they're liquid.Her breath now smells like leaking anal glands.Usually, she'd gobble down all the food as soon as I set it down, but now she'll just sniff it and walk away... She still follows me and constantly jumps up on two legs before I set it down, but now she'll eat her food maybe 5 hours later or eat it in slow increments. She just doesn't enjoy eating anymore.Before this, she transitioned from the local food she had at the humane society to a 6lb pound bag of blue I bought at Walmart and was fine. I wanted a better food that isn't only sold at one local county store. It was $18+ for the 6lb bag so I opted to subscribe to the 15lb bag on here to get a better price, 5% off, then 5% cash back with the Amazon credit card.After reading the reviews I can see I'm not the only one having problems. The Walmart bag didn't do anything to her, but I'd rather not take the risk again even with the store bags. I dug deeper into the bag and didn't see any mold, ants, maggots or even rat skin... that the other reviews mentioned. It smells fine, looks alright, and doesn't expire until 23'.I thought this food would be fine because it had good reviews and decent ingredients. The FDA is currently reviewing grain-free food and foods containing peas and other legumes or potatoes as main ingredients so I steered clear of that. Some of the reviews said this food contains lead so I'll look into that.I'll be transitioning to a new food shortly and update this review afterwards! Do research and keep your babies safe!"
175,Love Blue Buffalo But...,"I have ordered Blue Buffalo dog food for years, but for some reason this fish and brown rice recipe upset the stomachs of my 3 dogs. All three dogs suffered runny stools we believe from eating this product. We have discontinued feeding this recipe and have since gone back to deboned chicken and brown rice and the dogs are doing well."
176,My dogs love it,"Well, I guess he likes it because he eats it but it could be because I buy it for him. If he survives this 30lb bag I will give a follow up review.  Can you all tone it down on the life source bits because they are giving my dog a little to much Life. I'm old and cant chase this nut because of these powerful bits!"
177,Decent dog food,"The doggos seem underwhelmed with this food, and they are not picky. We have a food storage container that seals up well, but this food smells rancid from the get-go. Second time, I won’t be buying again."
178,Don’t buy from amazon,Great Item
179,My Dog LOVES Blue Buffalo's Adul Life Protection Formula - but It IS MAKING HIM SICK NOW..,"I love grain free Blue Buffalo food. It really helps with the allergies and the boys love it. My ""but"" comes from the fact it's cheaper to order from Chewey and the orders come within 48 hours. Not a lot cheaper but every penny counts at this point."
180,Tasteful for my dog,My dogs love it
181,multiple dogs have issues with this food.,I tried this dog food when I could not get the dog food my dog likes.  My dog is a picky eater and did not care for this food.
182,great product,Our 2 year old German Shepard has been eating Blue Buffalo since we got her at 8 weeks…and this type for almost a year. I ordered through Amazon because they had a good deal on it and only received 2 bags. The last bag we got from Amazon was just opened a little over a week ago and our dog has not peeing out of her butt since then. We took away food for 24hours for it to stop and then start right back up again after eating this food. I just went to the pet store to buy a regular bag and hopefully it’ll fix this because I’m tired of waking up every two hours to let her poop.
183,Buyer beware !!! Somethings definitely off.,"I wrote a great review for Blue Buffalo when I first got this kibble. My other dog has the senior version as well.  I noticed that both dogs were licking themselves more and chewing on themselves more. Lots of itching and scratching and more than when they were on their previous dry food.(Each dog was on a different blue buffalo food. VERY ODD!!!)One dog has chewed into the skin on their paw.. the other was started vomiting food.  I noticed that there were more than 40 complaints about this on Amazon..  and that's NOT GOOD.I would not recommend you try this food .. or if you do, buy very small quantities.I am shocked that Amazon didn't notice  all the negatives and that no one in Blue Buffalo heard about it.I will be contacting them too.<<MY OLD REVIEW>>I was concerned about my dog when I switched dog food. He's a picky eater and doesn't always want to eat what's put in front of him.  However,  he loves this Blue  Buffalo kibble for dogs.  When I walk him early every morning, I take a bag of kibble with me because I know he will be hungry. I didn't want to give him treats when we walked.. so I use kibble. He LOVES it. He eats about 3-4.5 oz every single morning.  That's a  lot of dry kibble... and even if he drops some kibble while eating the small handful I gave him, he eats up anything he drops. This Blue Buffalo formula is terrific! (And my dog's coat is shiny, gorgeous and  he's healthy!Considering they had only been on the food for less than 3 weeks, I am going  to ask for a refund. for each Blue Buffalo food type.. and I will be notifying Blue Buffalo.I started each dog on entirely new food and they aren't puking or chewing nearly as much.BEWARE and BE Aware. Read the blue buffalo critical reviews on Amazon"
184,My dog ate it,My pet likes the food.
185,Great for my goldendoodle,after a decade+ of dogs testing even the highest quality kibble i'm starting to believe that dog kibble is just low quality cheap slop that is left over from processing other parts for human needs.  yet to find a bullet proof food that can actually help your dog perform at a high level.  randomly bags of this food make my current dogs sick. next.
186,Happy dogs!,Best food for the $.No more allergy's for my German Shepard.
187,Shipping mistake,"Let me start off by saying I absolutely love blue buffallo. That being said, I've had this a part of my amazon subscribe and save forever but the last time something was terribly off.Half way into finishing the bag my dog got seriously sick, lost a lot of her hair and even her appetite. She started chewing furiously all herself all over her body and eventually she would smell the kibble and walk away which she never does. At first I thought maybe fleas or mange or something of the sort but after getting her checked out nothing was wrong with her in that sense.I inspected her food and it definitely smelled different than before. I decided to check the reviews on Amazon and saw similar complaints... well I dumped out the entire bag and decided to grab a small bag of the same brand and flavor and what do you know, she ate it like she hadn't seen food in forever.I smelled the new bag of blue buffalo that I purchased from the store and it didnt smell bad at all unlike the one I got from amazon.A few days after feeding her the bag from the store she already had major improvement in her mood and appetite and her hair started growing back. No more biting like crazy either.Needless to say I canceled my amazon subscribe and save and will be getting it from the store from now on. In fact I refuse to buy anything on Amazon that our family ingests or puts on our bodies like lotions and whatnot anymore. I don't know ir its a bad batch or a fake product or what but it's just not worth the risk."
188,Open product,"My dog ate this food when we put it in his bowl. He also eats his own poop from time to time and once ate a tampon. So the bar is very low, but he seemed to like this better than the poop."
189,Blue Buffalo Life Protection Formula,Great for my goldendoodle
190,6 dogs… nobody likes it😭,Our dogs enjoy this brand. We frequent this flavor and brand.
191,"Dogs love it, but bag ripped",Sent wrong size bites.  Need small adult bites.  My 2 dogs are small and missing teeth.  Love the formula and they enjoy it but can’t return these 2 bags.
192,excellente,The product is awesomeBut unfortunately it was delivered open.Although it’s open in small area I will still not be giving it to my best friend (dog).Please look into this matter.
193,Love Blue,Great ingredients and my dogs seem to like it.  I have ordered several times and will continue.
194,Dogs love it!,I have to mix it with their old food to get it used up…one dog seem to get loose stool’s from it… we are finally almost through the bag…won’t buy again.
195,My dog loves it!,"First time ordering dog food from Amazon. Couldn’t believe the dogs both ate this food dry-they loved it. However, the bag was ripped in the box, causing loose dry food  in box. I don’t know if I will order again from Amazon, but will definitely start using this dog food."
196,My dog likes it.,como dije fue y es una muy buena election
197,Blue Buffalo is a high quality dog food!,"I love Blue.  I did not buy it for a long time because I simply could not afford it.  It was outside of my budget.  Now, I simply can't afford to not buy it.  My dog loves it and she always eats and and never wastes it.  Before if she would not eat her dog food because she did not feel good, I would have to throw it away as she would continue to refuse to eat until I got fresh out.  With Blue, it can sit out for a couple of days and she will eat it still.  They have what I need when I need it and I can easily switch from one to another without her going through diarrhea or tummy issues.  This has been a great brand for both my dog and cat and I will stick with it."
198,WARNING!!!! Caused extreme sickness in my dog,Dogs have been loving it for many years now
199,Smells like Chicken & ...Blueberries?,She’s always been a picky eater. She gobbles this down like a kid with candy!
200,Great,My dog likes it so that's the most important thing.
201,Tasty.,"I bought Blue Buffalo Life Protection dog food to replace the prescription dog food we previously used.  The dog loves it and I can't ask for more.There are many negative reviews out there from several years ago. This all seem to be related to a lawsuit from another company.  Why Amazon keeps showing them I do not know, but they should be taken with a grain of salt."
202,Always Fresh never expired,"**** EDITED to let everyone know our sweet doggie had to be put to sleep yesterday as she was suffering to greatly. Vet thinks its from mold in her food. ****Our dog right now is on a IV at the vets and they are trying to keep her alive. She has been very sick since consuming the last bag of Blue that came from Amazon two weeks ago....If you read on you’ll find that other dogs and their owners are experiencing the same thing. I really hope that Blue Buffalo will refund our vet bill because they can in no way give our dog her life back if we loose her.I’ve received five emails from Amazon since 6:30 PM last night. I’ll post a picture of that below as to save anyone else from going though what we are.My dog has eaten this exact food for maybe six years without any issues and we always order from Amazon so I’m not certain what happened with this batch. You can also read consumer affairs the reports from the last 2 to 3 weeks about this food to be the same as the complaints here on Amazon. For whatever reason this food is making some dogs very very ill. Are started with vomiting, losing weight, being lethargic and then blood in her stool. Are smaller dog ate about a half of a handful of it and became sick as well, not the food we normally feed him so he was switched back over instantly.....Don’t risk it!!! Of course we tried to call the blue Buffalo number and they won’t be open again for phone calls until Monday and I got that email after they were already closed on a Friday night :(Younger dog may bounce back more quickly but due to my dogs age they aren’t sure she is going to pull through. She has jaundice and her liver is not working properly...She was a perfectly healthy dog before eating this last batch of food."
203,Too expensive,"I don’t know why, but my dog doesn’t seem to care for the small, black-ish kibble that (I guess) represent dried blueberries. He doesn’t hate them, but he usually avoids them to the extent he can. And my dog is not a picky eater. This is a minor complaint, because he still eats and eats well. And he is very healthy, and my vet agrees.I haven’t tasted the offending kibble myself yet, so I can’t say if they have a particular flavor. But in general I think things in dog food that are engineered to look like other (more appealing) things for the benefit of the owner, not the dog, are unnecessary.Overall, the food really does smell like chicken, which is about as good as it gets, as long as the flavor is “chicken”. I haven’t tried other flavors, but if they all smell like chicken I’ll update my review."
204,Seems my dogs allergies are lesser with lamb over chicken,Seems to be regulating my dogs system which was pretty irregular with iams. A little pricey but definitely worth it. This bag was pretty fresh.
205,Great,"Dog like it, but i have to change flavor often."
206,:),"Was skeptical about ordering dog food online due to not being able to see the expiration date . Thought why not try it and see.  Happy to say there was no problem here, and delivery was fast. No complaints form my pooch."
207,Highly recommend,"Good dog food, i guess.  My girl seemed to like it ok, but too expensive."
208,Rat droppings?,Liked it
209,I like how they ask me about it’s flavor…. It was delicious!,My did like it coming late
210,Great Product!,Dogs like it
211,Do Not Buy!!,"After slowly transitioning to this food over the period of a week, I did notice some looser stools just as many other people reviewing this product.  Towards the end of this transition time the stools became normal and it is a dogfood that he loves to eat.  I can't say that the ""lifebits"" that are in the mix is his favorite thing to eat, but most of the time his bowl is clean.  If he leaves anything in his bowl, it would be a few (2-3) of those which is a very small percentage of what was in the bowl to begin with.My dog IS a PICKY eater and with other brands I have often had to add a small treat to his bowl in order for him to eat it all, but I do not have that issue with this brand.  The one thing that I have done is to add some warm water to the bits which makes them softer as well as release the aroma and flavor.  My dog reacts the same way as he would have if I put some gravy on top of his food when I do that.He has gone from walking up to his bowl and looking at me wondering where his ""treat"" is so that he can eat to jumping up on his hind legs, bouncing around excited that he is about to be fed.The only downside I can think of with this product is that just like some other posters pointed out, there was evidence of some loose stool during transition and that the lifebits does not seem to be something that he enjoys eating."
212,Charlie The Beagle Approves!,"There were these old pebbles in it that didn’t seem to belong. These pebbles look like rats dropping. I didn’t like them in my dogs food so I would pull them out. there was about 1-2 pebbles approximately every scoop of food provided to my dog. Which seems like a lot. Every time I fed her I would go through the scoop and pull them out, unless they were some special vitamin I think blue buffalo should look into this. Other than that, my dog appeared to enjoy the food and also appeared appetizing for my dog."
213,Great ingredients,He eats it and he seems to be thriving
214,Best food ever,"I love this Blue dogfood! I have been giving this to my dogs for a few years now and I'm 62 and have had dogs all my life. The quality of this food is outstanding. There are so many dog foods out there that shouldn't be consumed by any animal. I want my 3 dogs to be happy and healthy like we all do and my Labradoodle is 8 and has always been healthy, thank goodness, my mini Aussie is 10 and she is reasonably healthy for 10 as well and I also have a Shih Tzu who is 4 and he very rarely throws up which is common because of there flat noses and I put all this down to this food. They never leave any, they sleep well, they listen, most of the time.....lol  and I put all this down to good nutrition. I want them to live forever like we all do so I believe they need to eat the right foods, no scraps, cause a lot are toxic to them, so I would definitely recommend this food......Thank you 'Blue' you make my doggies happy!!"
215,He loves it,I couldn't figure out why my dog started losing her hair and having terrible allergic reaction to the only kind of food she has ever ate and when I started buying it on Amazon the problems started. After reading the reviews it makes sense because everyone else is having similar issues.
216,Buffalo Blue Dog Food,"While I haven't actually fully tasted the food, Charlie the Beagle is always excited after he eats and runs to kiss my face. He really seems to like this food and I think it makes him a happy and healthy dog. The only thing is sometimes he picks out the life source bits. I try to reason with him and say that he needs his healthy life source bits to continue to grow and be a healthy dog, but he doesn't always listen. I included two pics of Charlie Beagle. The one with his mouth open and jumping up is him being happy right after eating Blue Buffalo food. (Doesn't he look happy?) The other picture is of him without his Blue Buffalo. (He kind of looks sad) Pictures say it all!"
217,BLUE GRAIN DOG FOOD,"Have been buying it for years, extremely happy with freshness, ingredients, and pup loves the flavor."
218,Om Nom Nom!,"We literally tried 10 different high-quality dog food so far for my dog who has a really sensitive stomach and nothing seemed to work. The Blue Buffalo really did the trick, she never threw up and this is the first one which doesn't cause her diarrhea. Her hair looks shiny and she likes the taste. She is a high energy dog and I had trouble with previous foods because she actually needed way more than it was suggested on the feeding instruction but with BB she needs a less than suggested on the feeding instructions (I always adjust it to her activities, current weight, weather etc).I found the reviews here really concerning. Many people just switch food from one day to the other and then are surprised that the dog gets sick. A few people said the dog had digestive issues for weeks before visiting the vet... I understand that you are disappointed and worried but I don't think the food is the issue in many of these cases. Also not every food is good for every dog,  but it doesn't mean there is anything wrong with Blue Buffalo, just like there is nothing wrong with the X other premium category food that did not work for us."
219,My dog loves this food.,Dogging loves it
220,Simply Amazing,Best dog food for my dog. My dog enjoys this flavor the most if I get her the green bag she doesn’t like it to much. She’s been eating this since a baby
221,my dog likes it,I have two standard poodles and one tiny Yorky. I was buying the tiny Yorky food for the tiny puppies and once she made a-year-old she started eating a large dog food for the standard poodles. She does not like the little round brown dark brown balls in it she picks them out but she loves the food. My big dogs eat every bit of it I have had them on many different kinds of food and they love BLUE!  I highly recommend this food my dogs have done great on it and they changed right over with not having runny stools. Again I had to recommend this food but the one with grain free not the one that’s grain free they have found that grain free is affecting some dogs brains and killing them.  If you prefer to have a grain free food blue also makes that that I feed my dogs the one with the brain and I highly recommend it
222,Huge bag with a flavor the dogs love,"My dogs are crazy.  I've tried for years to get them to eat high quality foods.  We've done Innova Evo, Wellness, Canidae, Call of the Wild.  They always act like I'm torturing them.  So I would end up feeding them Purina Pro Plan and feeling bad about life.  One day, my husband accidentally purchased a bag of Purina One and then they insisted that was the only food for them.  They decided to bunch Pro Plan in with the health foods and boycott it.One of my dogs is pretty skinny with a very high metabolism, so I can't afford him showing ribs and convincing people I'm not feeding him.  So for a while I gave in, and just mixed a high quality food in with the Purina One and let them pick out the pieces.Anyways, I decided to try Blue Buffalo because I was almost out of food and my car was acting funny and there it was on Amazon Prime... HOLY HELL they love this food!  They just eat it right up, no complaints, no looking back at me expectantly.  They enjoy it even more than they enjoyed their garbage food, and I don't have to feel bad about what I'm feeding them!The ingredients are great, the caloric content is good and pretty dense for my skinny boy, and the kibble size is good for my three sized dogs (XL, Medium, and Small but Fat).I'm looking forward to trying the other flavors and perhaps trying a higher quality Blue Buffalo food, but for now I'm just glad they're eating something decent for once!"
223,"My dog seemed to like it the first 4 meals, but after that refused to eat it.",My dog will only eat blue branded foods. It is crazy. He loves it so much.
224,Life source bits - our dogs spit them out.,"Blue Buffalo has been a miracle for us.  When we first got our sweet little girl, she was already two years old and had lived a rough life with not the best care or food.  We were told that she was fed a store brand generic food, which she would gobble down as fast as she could when it was in front of her.  After a few weeks we started having issues with our new family member, it seemed like every other day she was having a seizure which usually occurred a few hours after her food was eaten.  After numerous vet appointments the suggestion was made to give her a better food, so after quite a bit of research we settled on Blue Buffalo.  I am happy to say that we have now had our Baby Girl for 5 years and we have been seizure free since the switch.  I can honestly say you get for what you pay for in this case, she has more energy, her coat looks 100% better, and she no longer gobbles down her food, but enjoys it throughout the day. I highly recommend Blue to anyone that has a dog or cat, its simply one of the best foods on the market.  Thank You Blue for helping our little girl and making her a permanent part of our family."
225,My dogs love it,i dont like price hike though for only 30lbs
226,good product,"This. Bag. Is. HUGE!!When we saw this box on our doorstep, we had no idea what it was - maybe a table, huge cutting board, or a piece of furniture? As the owner of two small dogs, we had never gotten a really big bag of dog food before.Enter the Blue Buffalo mega bag! We felt like we were dog owners with a Saint Bernard when we opened up the box and saw this giant bag of fishery for the pups. The dogs had really been enjoying Natural Balance dry dog food that was fish and sweet potato flavor, but it was a little too pricey. We switched to Blue Buffalo gradually and the pups love it just as much, if not more!One of our dogs used to eat wet food, but he really loves Blue Buffalo products even more. It's been substantially easier for us and it's been a lot better for his teeth to eat dry dog food. The wet, raw food he had been eating was leading to a lot of tartar build up and we're really happy that we have him on a food that he likes that's good for his teeth. They've tried the Blue Buffalo chicken flavor as well, but I think the fish is where it's at.For our two dogs (9 lbs and 20 lbs), this mega bag will easily last us months! We love Blue Buffalo products!"
227,Picky pups but they like this product!,"My dog seemed to like it and the contents of the food seemed to be very good.  She ate it eagerly the first 4 meals then refused to eat it.  I added Blue Buffalo canned food and she ate eagerly for 3 meals, then refused to eat it again. She IS a very picky eater!"
228,Excellent,"Our 3 dogs only eat the kibble part of the food and leave the life source bits on the floor, where we often step on them on accident and it makes a mess. But maybe your dog will love this food!"
229,My dog is highly allergic & so far it's alright!,"I was turned on to this food by a rescue organization and figured they knew what they were doing … my dogs eat the fish and brown rice flavor. If dogs could talk, I could tell you all about freshness and flavor … but seems to keep their attention!"
230,Good Deal,dogs like it-quick delivery and reasonable price
231,Quality and flavor,Nice small size morsels
232,.,Excellent
